employee_id,absence_days,absence_events,main_group
ANON_75X76X48X48X48X51X55X52X49X49X48X,42.0,46,Congés
ANON_75X76X48X48X48X52X48X49X53X51X51X,23.5,29,Congés
ANON_75X76X48X48X48X52X48X54X50X49X57X,31.0,40,Congés
ANON_75X76X48X48X48X52X48X57X56X55X49X,16.5,18,Congés
ANON_75X76X48X48X48X52X50X51X49X55X48X,29.0,37,Congés
ANON_75X76X48X48X48X52X50X55X49X55X52X,26.0,37,Congés
ANON_75X76X48X48X48X52X51X51X50X51X53X,21.0,25,Congés
ANON_75X76X48X48X48X52X51X52X48X57X51X,15.0,23,Congés
ANON_75X76X48X48X48X52X52X49X52X49X57X,24.5,33,Congés
ANON_75X76X48X48X48X52X53X52X52X51X50X,49.0,59,Congés
ANON_75X76X48X48X48X52X53X56X53X57X48X,2.0,2,Congés
ANON_75X76X48X48X48X52X54X55X54X49X48X,40.5,46,Congés
ANON_75X76X48X48X48X52X55X53X51X55X54X,31.5,35,Congés
ANON_75X76X48X48X48X52X57X54X51X49X48X,25.0,34,Maladie
ANON_75X76X48X48X48X53X49X49X52X54X55X,27.0,36,Absences Autres motifs
ANON_75X77X48X48X48X52X53X55X52X49X51X,42.5,49,Congés
ANON_75X81X48X48X48X50X53X53X48X53X55X,49.0,52,Congés
ANON_75X81X48X48X48X50X55X48X55X53X52X,34.0,39,Congés
ANON_75X83X48X48X48X48X49X48X56X55X53X,48.0,55,Congés
ANON_75X83X48X48X48X52X48X48X48X49X49X,32.0,37,Congés
ANON_75X83X48X48X48X52X48X48X49X51X52X,49.0,62,Congés
ANON_75X83X48X48X48X52X48X49X57X55X53X,36.0,44,Congés
ANON_75X83X48X48X48X52X48X50X56X51X48X,37.0,49,Congés
ANON_75X83X48X48X48X52X48X55X51X48X54X,146.0,200,Maladie
ANON_75X83X48X48X48X53X48X48X48X48X51X,41.0,52,Congés
ANON_75X83X48X48X48X53X48X48X48X53X55X,35.0,44,Congés
ANON_75X83X48X48X48X53X48X48X48X53X57X,41.5,47,Congés
ANON_75X83X48X48X66X71X50X50X55X56X51X,39.5,54,Congés
ANON_75X85X48X48X48X48X57X51X55X49X53X,30.0,34,Congés
ANON_75X85X48X48X66X71X50X50X54X51X50X,26.0,30,Congés
ANON_75X88X48X48X48X48X50X54X57X56X52X,38.0,46,Congés
ANON_75X88X48X48X48X48X50X55X56X55X55X,38.5,49,Congés
