employee_id,country,performance_score
ANON_67X57X48X48X48X48X69X55X53X49X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X53X51X49X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X53X52X53X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X53X53X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X54X49X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X54X53X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X54X54X56X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X54X54X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X54X55X48X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X55X48X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X55X52X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X55X52X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X55X52X55X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X56X48X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X55X56X48X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X55X56X50X57X,Luxembourg,5.0
ANON_67X57X48X48X48X48X69X55X57X52X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X56X54X56X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X48X48X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X48X49X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X48X52X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X65X48X52X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X48X57X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X49X56X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X49X57X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X50X52X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X50X57X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X65X51X48X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X51X50X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X52X50X49X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X65X52X55X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X53X48X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X65X54X49X54X,Luxembourg,3.0
